Rule ID,Module Group,Category,Priority,Rule Name,Description
BR-STR-01,Structure & Database Constraints,Mandatory,High,Zone/Floor Dependency,"Mỗi bãi đỗ xe phải thuộc một tòa nhà cụ thể và có thông tin tầng, khu vực (block). Không thể tạo bãi đỗ xe mà không gắn với tòa nhà."
BR-STR-02,Structure & Database Constraints,Mandatory,High,Slot Floor Dependency,Mỗi ô đỗ xe phải thuộc một tầng cụ thể trong bãi đỗ. Không thể tạo ô đỗ xe nếu tầng đó không tồn tại trong bãi đỗ.
BR-STR-03,Structure & Database Constraints,Mandatory,High,Multi-Role Exclusivity,"Mỗi tài khoản trong hệ thống chỉ được phép mang MỘT vai trò duy nhất tại một thời điểm (User, Staff, hoặc Admin). Không cho phép đa vai trò đồng thời."
BR-STR-04,Structure & Database Constraints,Validation,High,Active Session Integrity,Mỗi biển số xe chỉ được phép có TỐI ĐA MỘT phiên đỗ xe đang hoạt động tại cùng một bãi đỗ. Hệ thống từ chối tạo phiên mới nếu phiên cũ chưa kết thúc.
BR-STR-05,Structure & Database Constraints,Validation,High,Slot Uniqueness,Mỗi ô đỗ xe chỉ được phép gắn với TỐI ĐA MỘT phiên đang hoạt động. Không thể đặt chỗ một ô đã bị khóa hoặc đang bận.
BR-STR-06,Structure & Database Constraints,Mandatory,High,License Plate Normalization,"Tất cả biển số xe được chuẩn hóa trước khi lưu trữ và so sánh: chuyển thành CHỮ HOA, loại bỏ dấu gạch ngang (-), dấu chấm (.), và khoảng trắng."
BR-STR-07,Structure & Database Constraints,Integrity,High,Soft Delete Policy,"Dữ liệu người dùng, sự cố, quy định, và cấu hình giá khi xóa sẽ được đánh dấu là đã xóa (soft delete) thay vì xóa vĩnh viễn, nhằm bảo toàn lịch sử kiểm toán."
BR-STR-08,Structure & Database Constraints,Integrity,Medium,Unique Transaction ID,Mỗi giao dịch thanh toán phải có mã giao dịch (Transaction ID) duy nhất trong toàn hệ thống.
BR-STR-09,Structure & Database Constraints,Integrity,Critical,Email Uniqueness,Mỗi địa chỉ email chỉ được phép đăng ký MỘT tài khoản duy nhất. Hệ thống từ chối đăng ký trùng lặp với thông báo lỗi rõ ràng.
BR-STR-10,Structure & Database Constraints,Integrity,Critical,Password Security,Mật khẩu người dùng KHÔNG BAO GIỜ được lưu trữ dạng văn bản thuần. Bắt buộc sử dụng thuật toán mã hóa một chiều (hashing) trước khi lưu vào cơ sở dữ liệu.
